Date,Team_ID,Team,Opponent,Result,Off Pass Att,Off Pass Yards,Off Int,Location,Off Rush Att,Off Rush Yards,Def Pass Att,Def Pass Yards,Def Rush Att,Def Rush Yards,Def Sacks,Def Sack Yards,Off Plays,Pen,Pen Yards
11/01/08,129,Central Michigan,Indiana,W 37-34,53,485,1,away,31,37,25,213,43,272,5,17,84,9,84
11/12/08,129,Central Michigan,Northern Ill.,W 33-30,26,189,0,away,49,241,38,288,35,80,3,22,75,4,40
11/19/08,129,Central Michigan,Ball St.,L 24-31,45,345,1,home,40,121,22,175,39,232,2,10,85,5,57
11/28/08,129,Central Michigan,Eastern Mich.,L 52-56,38,378,1,away,31,177,80,516,25,100,2,7,69,8,70
12/26/08,129,Central Michigan,Fla. Atlantic,L 21-24,40,253,1,neutral,31,127,36,306,36,112,4,25,71,5,45
08/28/08,140,Cincinnati,FCS,W 40-7,35,348,0,home,44,209,18,147,28,48,3,27,79,11,106
09/06/08,140,Cincinnati,Oklahoma,L 26-52,42,239,2,away,29,87,38,395,44,197,0,0,71,8,64
09/20/08,140,Cincinnati,Miami (Ohio),W 45-20,24,241,0,home,31,152,44,235,30,66,2,9,55,6,70
09/27/08,140,Cincinnati,Akron,W 17-15,38,322,0,away,31,104,42,254,33,104,3,28,69,9,75
10/03/08,140,Cincinnati,Marshall,W 33-10,26,158,1,away,46,203,37,178,31,90,3,21,72,2,25
10/11/08,140,Cincinnati,Rutgers,W 13-10,29,239,0,home,31,97,36,192,29,62,3,20,60,12,115
10/25/08,140,Cincinnati,Connecticut,L 16-40,47,259,3,away,19,30,42,196,36,153,1,7,66,5,38
10/30/08,140,Cincinnati,South Fla.,W 24-10,28,281,1,home,37,115,31,174,39,182,2,12,65,6,36
11/08/08,140,Cincinnati,West Virginia,W 26-23,30,178,0,away,33,82,38,219,42,98,4,19,63,10,91
11/14/08,140,Cincinnati,Louisville,W 28-20,36,274,1,away,31,131,35,204,37,120,1,11,67,6,42
11/22/08,140,Cincinnati,Pittsburgh,W 28-21,32,309,0,home,38,87,29,229,26,35,7,41,70,5,46
